Importance,Level,Code,Occupation
42,35,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
42,35,27-1026.00,Merchandise Displayers and Window Trimmers
42,33,49-3093.00,Tire Repairers and Changers
42,31,41-9011.00,Demonstrators and Product Promoters
42,30,15-1152.00,Computer Network Support Specialists
42,29,47-5051.00,"Rock Splitters, Quarry"
41,47,25-1125.00,"History Teachers, Postsecondary"
41,46,51-2021.00,"Coil Winders, Tapers, and Finishers"
41,43,27-2032.00,Choreographers
41,41,29-2011.02,Cytotechnologists
41,41,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
41,40,49-2091.00,Avionics Technicians
41,40,53-4031.00,Railroad Conductors and Yardmasters
41,39,25-1031.00,"Architecture Teachers, Postsecondary"
41,39,11-3061.00,Purchasing Managers
41,38,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
41,37,13-2021.01,Assessors
41,36,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
41,35,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
41,35,51-3092.00,Food Batchmakers
41,35,43-4031.02,Municipal Clerks
41,35,51-9123.00,"Painting, Coating, and Decorating Workers"
41,30,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
41,29,47-2073.00,Operating Engineers and Other Construction Equipment Operators
41,27,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
40,44,43-5021.00,Couriers and Messengers
40,43,47-2211.00,Sheet Metal Workers
40,41,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
40,41,19-1032.00,Foresters
40,41,51-8013.00,Power Plant Operators
40,40,43-3021.02,"Billing, Cost, and Rate Clerks"
40,40,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
40,40,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
40,39,27-3031.00,Public Relations Specialists
40,38,17-2071.00,Electrical Engineers
40,38,11-9013.02,Farm and Ranch Managers
40,38,19-3032.00,Industrial-Organizational Psychologists
40,38,53-3033.00,Light Truck or Delivery Services Drivers
40,38,27-2042.02,"Musicians, Instrumental"
40,38,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
40,36,43-4051.00,Customer Service Representatives
40,36,43-4151.00,Order Clerks
40,34,49-9097.00,Signal and Track Switch Repairers
40,31,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
40,30,23-1011.00,Lawyers
40,30,43-9061.00,"Office Clerks, General"
39,43,25-1052.00,"Chemistry Teachers, Postsecondary"
39,43,53-5031.00,Ship Engineers
39,42,11-9199.09,Wind Energy Operations Managers
39,41,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
39,40,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
39,39,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
39,38,25-1011.00,"Business Teachers, Postsecondary"
39,37,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
39,37,25-1042.00,"Biological Science Teachers, Postsecondary"
39,37,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
39,37,43-3051.00,Payroll and Timekeeping Clerks
39,37,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
39,35,47-2111.00,Electricians
39,35,39-3011.00,Gaming Dealers
39,35,51-9195.07,Molding and Casting Workers
39,34,43-5011.01,Freight Forwarders
39,34,51-4051.00,Metal-Refining Furnace Operators and Tenders
